name,games,gameStarted,minPlayed,fieldGoals,fieldGoalsAttemp,fieldGoalsPerc,point2_Goals,point2_Attemp,point2_Perc,point3_Goals,point3_Attemp,point3_Perc,freeThrows,freeThrowsAttemp,freeThrowsPerc,offensRebounds,deffensRebounds,draft
Adoyah Miller,52.0,30.0,20.3,2.6,7.1,0.358,1.0,3.0,0.344,1.5,4.2,0.369,1.4,2.0,0.712,0.6,1.5,0
Adrian Autry,29.0,0.0,1.2,0.1,0.7,0.15,0.0,0.2,0.2,0.1,0.5,0.133,0.1,0.1,0.5,0.0,0.1,0
Adrian Awasom,32.0,0.0,7.5,0.7,1.5,0.469,0.7,1.5,0.489,0.0,0.1,0.0,0.3,0.6,0.444,0.8,1.2,0
Adrian Baldwin Jr.,30.0,30.0,29.4,2.5,6.5,0.383,1.9,4.5,0.433,0.6,2.1,0.274,1.7,2.3,0.735,0.8,2.2,0
Adrian Banks,54.0,48.0,34.3,6.6,13.6,0.488,3.9,7.7,0.507,2.7,5.9,0.464,4.0,5.3,0.764,0.8,3.2,0
Adrian Bowie,135.0,60.0,19.3,2.4,5.1,0.467,1.9,3.7,0.518,0.5,1.4,0.332,1.4,2.0,0.68,0.7,1.7,0
Adrian Brown,97.0,7.0,7.5,0.8,1.7,0.437,0.7,1.7,0.436,0.0,0.0,0.5,0.5,0.9,0.59,0.5,0.9,0
Adrian Burton,24.0,4.0,11.0,1.0,3.3,0.321,0.8,2.3,0.357,0.2,0.9,0.227,0.6,1.2,0.517,0.3,1.0,0
Adrian Carrion Armas,9.0,0.0,4.0,0.2,0.6,0.4,0.2,0.3,0.667,0.0,0.2,0.0,0.2,0.7,0.333,0.0,0.4,0
Adrian Harper,67.0,40.0,21.8,2.9,6.9,0.412,1.9,3.9,0.479,1.0,3.0,0.323,1.0,1.5,0.676,0.8,2.7,0
Adrian Hayes,67.0,21.0,12.1,1.5,2.9,0.539,1.5,2.8,0.545,0.0,0.0,0.0,0.9,1.7,0.526,1.0,1.8,0
Adrian Henning,127.0,105.0,31.2,3.9,7.8,0.503,3.4,6.2,0.544,0.6,1.7,0.348,2.2,3.5,0.631,1.5,3.7,0
Adrian Hernandez,2.0,0.0,6.0,0.5,0.5,1.0,0.0,0.0,0.667,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0
Adrian Higgs,7.0,0.0,4.4,0.3,2.0,0.143,0.3,0.7,0.4,0.0,1.3,0.0,0.3,0.6,0.5,0.3,0.3,0
Adrian Hill,99.0,45.0,18.8,2.2,4.3,0.521,2.2,4.3,0.524,0.0,0.0,0.0,1.7,2.7,0.654,2.1,2.5,0
Adrian Hunter,28.0,1.0,12.2,1.0,2.9,0.363,0.3,0.9,0.375,0.7,2.0,0.357,0.4,0.6,0.647,0.3,1.3,0
Adrian Hynes-Guery,8.0,0.0,5.0,0.3,1.3,0.2,0.3,1.1,0.222,0.0,0.1,0.0,0.3,0.4,0.667,0.0,0.5,0
Adrian Martin,79.0,25.0,14.0,0.9,3.1,0.296,0.4,1.5,0.281,0.5,1.6,0.31,0.3,0.5,0.722,0.2,1.0,0
Adrian McPherson,3.0,0.0,1.7,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.7,0.7,1.0,0.0,0.0,0
Adrian Moss,123.0,25.0,13.7,1.5,2.9,0.497,1.4,2.7,0.523,0.1,0.3,0.242,0.8,1.2,0.627,1.0,1.8,0
Adrian Walton,26.0,14.0,26.1,3.8,7.9,0.481,3.4,5.9,0.582,0.4,2.0,0.189,1.7,2.6,0.647,0.6,2.1,0
Adrian Williams,115.0,52.0,24.3,2.2,5.7,0.385,0.8,1.8,0.452,1.4,3.9,0.355,1.3,1.7,0.764,0.3,1.9,0
Adrian Woodard,121.0,60.0,22.3,1.9,4.4,0.425,1.5,3.2,0.469,0.4,1.2,0.31,1.5,2.4,0.606,1.9,2.4,0
Adrian Zamora,60.0,26.0,14.6,1.1,2.6,0.424,1.1,2.4,0.434,0.1,0.2,0.308,0.6,1.1,0.576,1.0,2.2,0
Adrick McKinney,64.0,36.0,21.0,2.4,5.5,0.435,2.4,5.5,0.436,0.0,0.0,0.0,1.7,3.5,0.491,1.9,3.2,0
Adrien Borders,115.0,76.0,22.5,3.4,7.8,0.441,2.7,5.5,0.494,0.7,2.3,0.316,1.9,2.8,0.664,0.7,1.4,0
Adrien Coleman,75.0,56.0,30.4,5.2,10.2,0.51,5.0,9.3,0.537,0.3,1.0,0.26,3.0,5.7,0.528,2.3,3.1,0
Adrio Bailey,124.0,74.0,16.1,1.8,3.8,0.488,1.7,3.3,0.507,0.1,0.4,0.333,0.8,1.4,0.551,0.8,2.0,0
Adrion Webber,66.0,8.0,12.2,1.0,2.8,0.342,0.4,0.9,0.448,0.6,2.0,0.295,0.9,1.0,0.879,0.6,1.3,0
Afam Muojeke,72.0,49.0,24.0,3.7,8.5,0.431,2.4,4.7,0.524,1.2,3.8,0.318,3.0,3.9,0.773,0.5,3.4,0
Aguek Arop,82.0,8.0,13.0,1.4,3.0,0.474,1.3,2.5,0.529,0.1,0.5,0.179,0.5,1.0,0.532,1.3,1.3,0
Aguir Agau,55.0,10.0,12.6,1.3,3.0,0.425,0.9,1.7,0.511,0.4,1.3,0.315,0.6,0.9,0.673,0.7,1.8,0
Agustin Ambrosino,31.0,1.0,6.2,0.6,1.7,0.385,0.3,0.6,0.5,0.4,1.1,0.324,0.2,0.3,0.5,0.3,1.1,0
Ahmaad Cook,21.0,4.0,8.0,1.2,3.3,0.357,0.4,0.9,0.474,0.8,2.4,0.314,0.2,0.2,1.0,0.3,0.2,0
Ahmad Abdullah,85.0,52.0,25.8,2.2,5.8,0.382,1.4,3.7,0.395,0.8,2.1,0.359,1.3,1.7,0.764,0.4,2.0,0
Ahmad Caver,136.0,93.0,30.8,3.8,10.1,0.377,2.2,5.3,0.417,1.6,4.8,0.332,2.1,3.3,0.652,0.5,2.8,0
Ahmad Clark,93.0,58.0,25.0,3.9,10.2,0.378,2.5,6.1,0.416,1.3,4.2,0.322,3.2,4.0,0.795,0.4,3.1,0
Ahmad Hamilton,5.0,0.0,3.4,0.8,1.4,0.571,0.6,0.8,0.75,0.2,0.6,0.333,0.6,1.4,0.429,0.0,0.2,0
Ahmad Harrison,13.0,1.0,7.7,0.4,1.4,0.278,0.4,1.0,0.385,0.0,0.4,0.0,0.6,0.9,0.667,0.2,0.5,0
Ahmad Wagner,96.0,25.0,11.9,1.2,2.2,0.547,1.2,2.1,0.562,0.0,0.1,0.222,0.7,1.4,0.46,1.3,1.4,0
Ahmad Walker,67.0,64.0,26.6,2.9,6.8,0.429,2.7,5.5,0.484,0.3,1.3,0.195,2.5,3.8,0.655,1.5,4.5,0
Ahmard Harvey,44.0,1.0,7.7,1.0,1.8,0.538,1.0,1.8,0.538,0.0,0.0,0.667,0.1,0.5,0.182,0.7,1.0,0
Ahmed Ali,49.0,41.0,24.4,3.5,8.3,0.418,1.8,3.5,0.524,1.7,4.9,0.343,2.4,2.9,0.839,0.7,1.5,0
Ahmed Hamdy Mohamed,102.0,9.0,12.7,2.1,4.3,0.492,2.1,4.3,0.493,0.0,0.0,0.0,1.4,2.3,0.607,1.3,2.1,0
Ahmed Hill,134.0,115.0,30.0,3.8,8.6,0.445,2.1,4.2,0.502,1.7,4.4,0.39,1.6,2.2,0.741,0.6,2.8,0
Ahsan Asadullah,103.0,66.0,23.4,5.7,10.5,0.547,5.7,10.2,0.555,0.1,0.3,0.25,1.8,3.2,0.557,2.1,5.3,0
